date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:21	272/272	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2010:03:20%20GMT	https://pro.cfw.sh/static/favicon.ico	C:/My%20Web%20Sites/mijia/pro.cfw.sh/static/favicon.ico	(from https://pro.cfw.sh/changelog/)
19:03:21	155764/155764	---M-Z	200	added ('OK')	text/css	etag:%2226074-5b480e0ae479c-gzip%22	https://pro.cfw.sh/static/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/mijia/pro.cfw.sh/static/vendor/bootstrap/css/bootstrap.min.css	(from https://pro.cfw.sh/changelog/)
19:03:22	86929/86929	---M-Z	200	added ('OK')	application/javascript	etag:%2215391-5b480e0840b5b-gzip%22	https://pro.cfw.sh/static/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/static/vendor/jquery/jquery.min.js	(from https://pro.cfw.sh/changelog/)
19:03:22	78641/78641	---M-Z	200	added ('OK')	application/javascript	etag:%2213331-5b480e0c8c4b4-gzip%22	https://pro.cfw.sh/static/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/static/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://pro.cfw.sh/changelog/)
19:03:22	20226/20226	---M-Z	200	added ('OK')	application/javascript	etag:%224f02-5b480e0ee3e3c-gzip%22	https://pro.cfw.sh/_next/static/chunks/main-c1f3171fa068c32521e2.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/_next/static/chunks/main-c1f3171fa068c32521e2.js	(from https://pro.cfw.sh/changelog/)
19:03:23	1539/1539	---M-Z	200	added ('OK')	application/javascript	etag:%22603-5b480e0ef577b-gzip%22	https://pro.cfw.sh/_next/static/chunks/webpack-e067438c4cf4ef2ef178.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/_next/static/chunks/webpack-e067438c4cf4ef2ef178.js	(from https://pro.cfw.sh/changelog/)
19:03:23	128409/128409	---M-Z	200	added ('OK')	application/javascript	etag:%221f599-5b480e0ede07d-gzip%22	https://pro.cfw.sh/_next/static/chunks/framework.964e76377795026233d5.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/_next/static/chunks/framework.964e76377795026233d5.js	(from https://pro.cfw.sh/changelog/)
19:03:23	34556/34556	---M-Z	200	added ('OK')	application/javascript	etag:%2286fc-5b480e0ebec80-gzip%22	https://pro.cfw.sh/_next/static/chunks/f6078781a05fe1bcb0902d23dbbb2662c8d200b3.86256fa3aea5ddb9c8f6.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/_next/static/chunks/f6078781a05fe1bcb0902d23dbbb2662c8d200b3.86256fa3aea5ddb9c8f6.js	(from https://pro.cfw.sh/changelog/)
19:03:23	2151/2151	---M-Z	200	added ('OK')	application/javascript	etag:%22867-5b480e12c9e9f-gzip%22	https://pro.cfw.sh/_next/static/chunks/pages/_app-af1b8e54567fd58d71e4.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/_next/static/chunks/pages/_app-af1b8e54567fd58d71e4.js	(from https://pro.cfw.sh/changelog/)
19:03:23	272/272	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2010:03:23%20GMT	https://pro.cfw.sh/_next/static/chunks/pages/index-e25a54493347bb5255c0.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/_next/static/chunks/pages/index-e25a54493347bb5255c0.js	(from https://pro.cfw.sh/changelog/)
19:03:25	92328/92328	---M-Z	200	added ('OK')	application/javascript	etag:%22168a8-5b480e0f12c38-gzip%22	https://pro.cfw.sh/_next/static/chunks/polyfills-36bde18dcfde0c144be5.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/_next/static/chunks/polyfills-36bde18dcfde0c144be5.js	(from https://pro.cfw.sh/changelog/)
19:03:25	272/272	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2010:03:25%20GMT	https://pro.cfw.sh/_next/static/oWv-xMv9scTzL9PYZpqJy/_buildManifest.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/_next/static/oWv-xMv9scTzL9PYZpqJy/_buildManifest.js	(from https://pro.cfw.sh/changelog/)
19:03:25	272/272	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2010:03:25%20GMT	https://pro.cfw.sh/_next/static/oWv-xMv9scTzL9PYZpqJy/_ssgManifest.js	C:/My%20Web%20Sites/mijia/pro.cfw.sh/_next/static/oWv-xMv9scTzL9PYZpqJy/_ssgManifest.js	(from https://pro.cfw.sh/changelog/)
